1,2,3,||
ไม่สามารถเปิดใช้งาน notebook ได้ ต้องดำเนินการอย่างไร,ไม่สามารถเปิดใช้งาน Notebook ได้ครับ ต้องดำเนินการอย่างไร,"1. ทดลองชาร์จเสียบชาร์จ notebook ประมาณ 10 - 15 นาที จากนั้นทดลองเปิดใช้งานอีกครั้ง 
2. หากยังไม่สามารถใช้งานได้ ให้ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook ไม่สามารถเปิดได้""",||
ไม่สามารถ login ผ่านโปรแกรม outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไร,ไม่สามารถ Login ผ่านโปรแกรม Outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไรบ้างเหรอคะ,"1. กรุณาตรวจสอบการเชื่อมต่อ internet
2. กรุณาตรวจสอบความถูกต้อง email และ password",||
ups มีเสียงร้อง แก้ไขยังไง,แก้ไขยังไง UPS มีเสียงร้อง,"1. หากเชื่อมต่อ ups เข้ากับอุปกรณ์อื่น ๆ ให้ทดลองถอดอุปกรณ์อื่นออก จากนั้นลองใช้งานอีกครั้ง
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ups ชำรุด""",||
ต้องการเบิก external monitor ต้องทำยังไง,อยากเบิก External Monitor ต้องทำยังไง,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการเบิกยืม monitor""",||
ไม่สามารถ login ผ่านโปรแกรม outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไร,ไม่สามารถ Login ผ่านโปรแกรม Outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไรด้วยวิธีอะไร,"1. กรุณาตรวจสอบการเชื่อมต่อ internet
2. กรุณาตรวจสอบความถูกต้อง email และ password",||
โปรแกรม outlook ไม่สามารถใช้งานเมนู import/export จะแก้ไขได้อย่างไร,ตัวโปรแกรม Outlook ไม่สามารถใช้งานเมนู Import/Export จะแก้ไขได้อย่างไร,"สาเหตุอาจเกิดจากภาษาของโปรแกรม outlook และตัวระบบปฏิบัติการไม่ตรงกัน สามารถแก้ไขได้ดังนี้
1. ไปที่ file
2. คลิกที่ options
3. คลิกที่ ภาษา
4. ในส่วนของ ภาษาที่ใช้แสดงของ office ให้เลือก ตรงกับ microsoft windows จากนั้นคลิกที่ ตั้งค่าเป็นตัวเลือกที่ต้องการ
5. คลิกที่ ตกลง จากนั้นจะมี popup แสดงขึ้นมาว่าให้ทำการเริ่มโปรแกรมใหม่เพื่อให้การเปลี่ยนแปลงมีผล
6. ปิดโปรแกรม และเปิดโปรแกรมใหม่ จากนั้นลองทดสอบอีกครั้ง",||
ไม่สามารถใช้งานพอร์ท usb บน notebook ได้ ต้องดำเนินการอย่างไร,บน Notebook ไม่สามารถใช้งานพอร์ท USB ได้ ต้องดำเนินการอย่างไร,"1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน notebook ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""พอร์ท usb ชำรุด""",||
จอ notebook สัมผัสใช้งานไม่ได้ แก้ไขได้อย่างไร,จอของ Notebook สัมผัสใช้งานไม่ได้ แก้ไขได้อย่างไร,"1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน laptop ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook หน้าจอสัมผัสชำรุด""",||
ต้องการยกเลิกสิทธิ์การใช้งาน vpn ไม่ทราบว่าต้องดำเนินการอย่างไร,ต้องการยกเลิกสิทธิ์การใช้งาน VPN ไม่ทราบว่าต้องทำอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ยกเลิกสิทธิ์การใช้งาน vpn""",||
ไม่สามารถเปิดใช้งานโปรแกรม outlook ได้ครับ ไม่ทราบว่าจะแก้ไขได้อย่างไร,ไม่สามารถเปิดใช้งานโปรแกรม Outlook ได้ครับ ไม่ทราบว่าจะแก้ไขได้ด้วยวิธีอย่างไร,"1. ทดลองเปิดโปรแกรม outlook แบบ safe mode โดยทำการกด ctrl บนแป้นพิมพ์ค้าง แล้วเปิดโปรแกรม outlook หากสามารถเปิดโปรแกรมด้วยวิธีนี้ได้ ปัญหาอาจเกิดจาก add-in ที่ใช้งาน ให้ทำการตรวจสอบหรือ disable add-in ที่มีปัญหา
2. สำหรับ outlook เวอร์ชัน 2013 ลงไป ให้ทำการตรวจสอบว่าโปรแกรมถูกกำหนดให้ทำงานแบบ compatibility mode อยู่หรือไม่ โดยคลิกขวาที่โปรแกรม outlook -> properties -> compatibility ให้นำเครื่องหมายถูกทั้งหมดออก จากนั้นคลิกที่ apply และ ok ตามลำดับ

หากปฏิบัติ 2 วิธีข้างต้นแล้วยังไม่สามารถเปิดโปรแกรม outlook ได้ ให้ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ไม่สามารถเปิดโปรแกรม outlook ได้""",||
ups มีเสียงร้อง แก้ไขยังไง,ปัญหาเรื่องการที่ UPS มีเสียงร้อง แก้ไขยังไง,"1. หากเชื่อมต่อ ups เข้ากับอุปกรณ์อื่น ๆ ให้ทดลองถอดอุปกรณ์อื่นออก จากนั้นลองใช้งานอีกครั้ง
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ups ชำรุด""",||
จอ notebook สัมผัสใช้งานไม่ได้ แก้ไขได้อย่างไร,จอ Notebook สัมผัสใช้งานไม่ได้ มีวิธีแก้ไขได้อย่างไร,"1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน laptop ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook หน้าจอสัมผัสชำรุด""",||
ต้องการส่ง email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,Email ในนามของหน่วยงาน ต้องการส่ง ไม่ทราบว่าต้องดำเนินการอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการส่ง email ในนามของหน่วยงาน""",||
ต้องการส่ง email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,ต้องการส่ง Email ในนามหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการส่ง email ในนามของหน่วยงาน""",||
ต้องการเปิดใช้งานพอร์ท usb ไม่ทราบว่าจะต้องดำเนินการอย่างไร,ต้องการเปิดใช้งานพอร์ท USB ไม่ทราบว่าจะต้องมีวิธีการขั้นตอนดำเนินการอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการขอเปิดใช้งานพอร์ท usb""",||
ต้องการส่ง email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,ต้องการส่งตัว Email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการส่ง email ในนามของหน่วยงาน""",||
ตั้งค่า notebook ให้ใช้งาน printer ได้ทำอย่างไร,ตั้งค่า Notebook ให้ใช้งาน Printer ได้ทำอย่างไรได้บ้าง,"โดยปกติแล้ว notebook ของบริษัทจะสามารถใช้งาน printer ได้เลย แต่หากไม่สามารถใช้งานให้ดำเนินการดังนี้
1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook ไม่สามารถใช้งาน printer ได้""",||
external monitor มีรอยแตก ต้องทำอย่างไร,External Monitor แตก ต้องทำอย่างไร,"1. ดำเนินส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""monitor มีรอยแตกร้าว"" พร้อมกับระบุรหัสทรัพย์สินของ monitor มาด้วย",||
ต้องการเปิดใช้งานพอร์ท usb ไม่ทราบว่าจะต้องดำเนินการอย่างไร,ต้องการในการเปิดใช้งานพอร์ท USB ไม่ทราบว่าจะต้องดำเนินการอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการขอเปิดใช้งานพอร์ท usb""",||
ไม่ได้ยินเสียงจากลำโพงบน notebook ต้องดำเนินการแก้ไขอย่างไร,ไม่ได้ยินเสียงจากลำโพงบน Notebook ต้องมีการแก้ไขอย่างไร,"ตรวจสอบว่าให้แน่ใจว่าไม่ได้ทำการปิดเสียงไว้ หากยังไม่ได้ผลให้ดำเนินการดังนี้
1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน notebook ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook ลำโพงชำรุด""",||
ups มีเสียงร้อง แก้ไขยังไง,UPS มีปัญหาว่ามีเสียงร้อง แก้ไขยังไง,"1. หากเชื่อมต่อ ups เข้ากับอุปกรณ์อื่น ๆ ให้ทดลองถอดอุปกรณ์อื่นออก จากนั้นลองใช้งานอีกครั้ง
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ups ชำรุด""",||
ต้องการ uninstall โปรแกรม outlook ทำอย่างไร,ต้องการจะ Uninstall โปรแกรม Outlook ทำอย่างไร,"1. เปิด control panel 
2. คลิกที่ uninstall a program
3. คลิกขวาที่ outlook
4. คลิกที่ uninstall",||
ลำโพงของ pc desktop ไม่มีเสียง แก้ยังไง,ลำโพงของ PC Desktop ไม่มีเสียงออก แก้ยังไง,"ตรวจสอบให้แน่ใจว่าไม่ได้ทำการปิดเสียงไว้ หากยังไม่ได้ผลให้ดำเนินการดังนี้
1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""pc desktop ลำโพงชำรุด""",||
notebook ค่อนข้างช้าและหยุดทำงานบ่อยครั้ง ต้องดำเนินการอย่างไร,Notebook ค่อนข้างช้าและมีการหยุดทำงานบ่อยครั้ง ต้องดำเนินการอย่างไร,"1. เปิดโปรแกรม task manager แล้วไปที่แถบ startup จากนั้นคลิกขวาโปรแกรมที่ไม่ได้ใช้งานแล้วเลือก disable
2. เปิดโปรแกรม disk cleanup เพื่อลบไฟล์ขยะออกจากเครื่อง https://www.nongit.com/blog/how-to-use-disk-cleanup.html และทดลองใช้งานดูอีกครั้ง หากยังพบเจอปัญหาให้ทำข้อที่ 3
3. ติดตั้งโปรแกรม hd tune เพื่อตรวจสอบหา bad sector บน harddisk https://notebookspec.com/web/186448-check-hdd-hdtune-utility-scan-benchmark หากพบ bad sector ควรพิจารณา backup ข้อมูลและติดต่อ servicedesk เพื่อขอเปลี่ยน harddisk",||
ไม่ได้ยินเสียงจากลำโพงบน notebook ต้องดำเนินการแก้ไขอย่างไร,ไม่ได้ยินเสียงจากลำโพงบน Notebook ต้องทำการดำเนินการแก้ไขอย่างไร,"ตรวจสอบว่าให้แน่ใจว่าไม่ได้ทำการปิดเสียงไว้ หากยังไม่ได้ผลให้ดำเนินการดังนี้
1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน notebook ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook ลำโพงชำรุด""",||
ตั้งค่า notebook ให้ใช้งาน printer ได้ทำอย่างไร,ตั้งค่า Notebook ให้ใช้งาน Printer ได้ทำอย่างไรได้บ้างเหรอคะ,"โดยปกติแล้ว notebook ของบริษัทจะสามารถใช้งาน printer ได้เลย แต่หากไม่สามารถใช้งานให้ดำเนินการดังนี้
1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook ไม่สามารถใช้งาน printer ได้""",||
touchpad บน notebook ไม่ตอบสนอง ไม่ทราบว่าจะแก้ไขได้อย่างไร,Touchpad บน Notebook ไม่ตอบสนอง ไม่ทราบว่าจะแก้ไขได้อย่างไรบ้าง,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""touchpad notebook ไม่ตอบสนอง""",||
ต้องการ uninstall โปรแกรม outlook ทำอย่างไร,ต้องการ Uninstall โปรแกรม Outlook ออก ทำอย่างไร,"1. เปิด control panel 
2. คลิกที่ uninstall a program
3. คลิกขวาที่ outlook
4. คลิกที่ uninstall",||
ไม่สามารถเปิดใช้งาน notebook ได้ ต้องดำเนินการอย่างไร,ไม่สามารถเปิดใช้งาน Notebook ได้ ควรจะต้องดำเนินการอย่างไร,"1. ทดลองชาร์จเสียบชาร์จ notebook ประมาณ 10 - 15 นาที จากนั้นทดลองเปิดใช้งานอีกครั้ง 
2. หากยังไม่สามารถใช้งานได้ ให้ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook ไม่สามารถเปิดได้""",||
ต้องการส่ง email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,ต้องการส่ง Email ในนามของหน่วยงาน ไม่ทราบว่าต้องทำอะไรอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการส่ง email ในนามของหน่วยงาน""",||
ไม่สามารถ login ผ่านโปรแกรม outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไร,ไม่สามารถที่จะ Login ผ่านโปรแกรม Outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไร,"1. กรุณาตรวจสอบการเชื่อมต่อ internet
2. กรุณาตรวจสอบความถูกต้อง email และ password",||
ups มีเสียงร้อง แก้ไขยังไง,มีปัญหาด้าน UPS มีเสียงร้อง แก้ไขยังไง,"1. หากเชื่อมต่อ ups เข้ากับอุปกรณ์อื่น ๆ ให้ทดลองถอดอุปกรณ์อื่นออก จากนั้นลองใช้งานอีกครั้ง
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ups ชำรุด""",||
ต้องการส่ง email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,ต้องการส่ง Email ไปในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการส่ง email ในนามของหน่วยงาน""",||
ต้องการ uninstall โปรแกรม outlook ทำอย่างไร,หากต้องการ Uninstall โปรแกรม Outlook ทำอย่างไร,"1. เปิด control panel 
2. คลิกที่ uninstall a program
3. คลิกขวาที่ outlook
4. คลิกที่ uninstall",||
ไม่สามารถเปิดใช้งานโปรแกรม outlook ได้ครับ ไม่ทราบว่าจะแก้ไขได้อย่างไร,ไม่สามารถเปิดใช้งานโปรแกรม Outlook ได้ครับ ไม่ทราบว่าสามารถแก้ไขได้อย่างไร,"1. ทดลองเปิดโปรแกรม outlook แบบ safe mode โดยทำการกด ctrl บนแป้นพิมพ์ค้าง แล้วเปิดโปรแกรม outlook หากสามารถเปิดโปรแกรมด้วยวิธีนี้ได้ ปัญหาอาจเกิดจาก add-in ที่ใช้งาน ให้ทำการตรวจสอบหรือ disable add-in ที่มีปัญหา
2. สำหรับ outlook เวอร์ชัน 2013 ลงไป ให้ทำการตรวจสอบว่าโปรแกรมถูกกำหนดให้ทำงานแบบ compatibility mode อยู่หรือไม่ โดยคลิกขวาที่โปรแกรม outlook -> properties -> compatibility ให้นำเครื่องหมายถูกทั้งหมดออก จากนั้นคลิกที่ apply และ ok ตามลำดับ
หากปฏิบัติ 2 วิธีข้างต้นแล้วยังไม่สามารถเปิดโปรแกรม outlook ได้ ให้ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ไม่สามารถเปิดโปรแกรม outlook ได้""",||
ups มีเสียงร้อง แก้ไขยังไง,เกิดปัญหา UPS มีเสียงร้อง แก้ไขยังไง,"1. หากเชื่อมต่อ ups เข้ากับอุปกรณ์อื่น ๆ ให้ทดลองถอดอุปกรณ์อื่นออก จากนั้นลองใช้งานอีกครั้ง
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ups ชำรุด""",||
ต้องการส่ง email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,ต้องการส่ง Email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการส่งอีเมลอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการส่ง email ในนามของหน่วยงาน""",||
